iter	Passed	Remaining
0	475	403342
1	882	373973
2	1298	366750
3	1695	358656
4	2105	355794
5	2518	354248
6	2915	351072
7	3318	349310
8	3715	347232
9	4153	348861
10	4568	348473
11	4982	347925
12	5391	347110
13	5792	345869
14	6188	344505
15	6596	343860
16	7035	344746
17	7468	345200
18	7880	344663
19	8296	344320
20	8715	344065
21	9153	344500
22	9580	344484
23	9994	343966
24	10427	344099
25	10842	343618
26	11297	344373
27	11734	344488
28	12174	344667
29	12594	344260
30	13033	344332
31	13466	344240
32	13933	344954
33	14350	344423
34	14785	344290
35	15215	344050
36	15646	343807
37	16086	343746
38	16521	343565
39	16967	343590
40	17418	343693
41	17871	343815
42	18321	343839
43	18767	343785
44	19206	343586
45	19660	343638
46	20096	343359
47	20549	343346
48	20991	343150
49	21433	342939
50	21866	342579
51	22304	342295
52	22707	341470
53	23168	341517
54	23622	341450
55	24044	340916
56	24486	340666
57	24923	340341
58	25366	340082
59	25804	339764
60	26230	339271
61	26664	338903
62	27101	338558
63	27553	338390
64	27968	337767
65	28423	337637
66	28858	337256
67	29288	336813
68	29703	336213
69	30136	335810
70	30577	335494
71	30984	334807
72	31431	334553
73	31878	334295
74	32304	333818
75	32736	333396
76	33157	332868
77	33593	332485
78	34015	331978
79	34433	331417
80	34864	330996
81	35276	330397
82	35723	330115
83	36134	329515
84	36564	329076
85	36984	328563
86	37421	328187
87	37830	327578
88	38241	326984
89	38674	326586
90	39089	326033
91	39502	325466
92	39931	325029
93	40344	324472
94	40765	323975
95	41199	323591
96	41618	323079
97	42053	322696
98	42493	322348
99	42890	321675
100	43313	321205
101	43755	320872
102	44115	319943
103	44555	319596
104	44951	318943
105	45367	318431
106	45805	318068
107	46232	317636
108	46645	317104
109	47089	316781
110	47526	316416
111	47947	315941
112	48375	315512
113	48803	315084
114	49248	314763
115	49676	314332
116	50111	313945
117	50533	313477
118	50966	313077
119	51384	312590
120	51807	312128
121	52234	311691
122	52647	311175
123	53096	310870
124	53510	310361
125	53932	309896
126	54363	309487
127	54781	309003
